country,all_ip
Russia,495899
Ukraine,46466
Belarus,15677
Kazakhstan,13040
United States,7441
Republic of Moldova,6105
Armenia,3546
Germany,3352
Azerbaijan,2859
Uzbekistan,2282
Latvia,2222
China,2135
United Kingdom,1870
Georgia,1755
Spain,1666
Turkey,1627
Thailand,1603
Israel,1540
Italy,1527
Czech Republic,1451
Kyrgyzstan,1336
Netherlands,1304
France,1299
Estonia,1113
Poland,1058
Bulgaria,935
Canada,897
Vietnam,895
Republic of Lithuania,850
India,845
Indonesia,747
Brazil,694
Sweden,691
Romania,582
Venezuela,499
Finland,442
Switzerland,413
Greece,399
United Arab Emirates,397
Republic of Korea,384
Cyprus,375
Australia,375
Japan,346
Pakistan,342
Belgium,330
Mexico,298
Montenegro,294
Egypt,290
Austria,288
Portugal,279
Serbia,253
Norway,248
Morocco,239
Hungary,223
Denmark,187
Nigeria,183
Malaysia,179
Philippines,159
Ireland,157
Iran,143
Argentina,141
Saudi Arabia,122
Colombia,114
South Africa,111
New Zealand,110
Slovak Republic,110
Dominican Republic,110
Cambodia,98
Bangladesh,98
Turkmenistan,98
Algeria,98
Taiwan,97
Slovenia,88
Iraq,85
Peru,76
Chile,69
Ecuador,69
Palestine,65
Tajikistan,59
Croatia,58
Iceland,56
Sri Lanka,56
Mongolia,55
Malta,49
Hashemite Kingdom of Jordan,49
Luxembourg,46
Macedonia,45
Togo,39
Bosnia and Herzegovina,37
Lebanon,36
Ghana,33
Costa Rica,28
Qatar,27
Ivory Coast,26
Albania,26
Panama,25
Kuwait,23
Myanmar [Burma],22
Kenya,21
Bolivia,20
Benin,19
Nepal,19
Senegal,19
Uruguay,18
Maldives,15
Guatemala,14
Afghanistan,13
Nicaragua,13
Tunisia,13
Mauritius,13
Seychelles,12
Hong Kong,11
Andorra,10
Jamaica,10
Honduras,10
Bahrain,9
Antigua and Barbuda,9
Haiti,9
Tanzania,9
Botswana,9
Cameroon,9
Angola,8
Uganda,8
Cuba,7
Madagascar,6
Rwanda,5
Gabon,5
Burkina Faso,5
Trinidad and Tobago,5
Libya,5
Zambia,4
?land,4
Paraguay,4
Oman,4
Barbados,4
Belize,4
Guyana,4
Puerto Rico,3
Liechtenstein,3
Yemen,3
Bahamas,3
Brunei,3
Laos,3
Mozambique,3
Fiji,3
Faroe Islands,3
Guinea,2
French Polynesia,2
Cape Verde,2
Ethiopia,2
El Salvador,2
Bermuda,2
Vanuatu,2
Republic of the Congo,2
Zimbabwe,2
Kosovo,2
Niger,2
Sudan,2
Namibia,2
Singapore,1
American Samoa,1
Papua New Guinea,1
Samoa,1
San Marino,1
North Korea,1
New Caledonia,1
Sierra Leone,1
Dominica,1
Equatorial Guinea,1
Svalbard and Jan Mayen,1
Mali,1
Somalia,1
Liberia,1
Tonga,1
Gambia,1
Greenland,1
Guam,1
Suriname,1
Guinea-Bissau,1
Syria,1
